category_id,current_rank,rank_change,brand,product_name,rating,review_count,price,update_date,rank_change_value,previous_rank,rank_change_score,current_rank_score,rating_score,score
1,1,-,퓌,올데이 커버 블랙 쿠션 [SPF40/PA++],4.25,239,28000,2026.09.06,0,1,0.0,30.0,13.81,43.81
1,2,-,에스쁘아,비 글로우 파운데이션 [SPF27/PA++],4.34,568,42000,2026.09.06,0,2,0.0,28.42,18.1,46.52
1,3,+1,입생로랑 뷰티,뚜쉬 에끌라 글로우 팩트 쿠션 [SPF50+/PA++++],4.46,848,114000,2026.09.06,1,4,2.67,26.84,23.81,53.32
1,4,+7,네이밍,올데이 마스터 쿠션 [SPF30/PA++],4.38,162,34000,2026.09.06,7,11,18.67,25.26,20.0,63.93
1,5,+4,VDL,커버 스테인 퍼펙팅 쿠션 [SPF35/PA++],4.36,503,34000,2026.09.06,4,9,10.67,23.68,19.05,53.4
1,6,+2,비디비치,블랙 퍼펙션 커버 핏 쿠션 [SPF40/PA++],4.41,226,46000,2026.09.06,2,8,5.33,22.11,21.43,48.87
1,7,-1,헤라,실키 스테이 24H 롱웨어 파운데이션 [SPF20/PA++],4.43,1825,70000,2026.09.06,-1,6,0.0,20.53,22.38,42.91
1,8,+4,헤라,블랙 쿠션 파운데이션 [SPF34/PA++],4.38,1510,74000,2026.09.06,4,12,10.67,18.95,20.0,49.62
1,9,+1,나스,네츄럴 매트 롱웨어 파운데이션,4.47,769,82000,2026.09.06,1,10,2.67,17.37,24.29,44.33
1,10,-5,VDL,커버 스테인 퍼펙팅 파운데이션 [SPF35/PA++],4.35,1323,34000,2026.09.06,-5,5,0.0,15.79,18.57,34.36
1,11,-8,지베르니,밀착 커버 파운데이션 [SPF30/PA++],4.17,1461,33000,2026.09.06,-8,3,0.0,14.21,10.0,24.21
1,12,-5,롬앤,유에프오 커버 쿠션 [SPF40/PA++],3.96,77,28000,2026.09.06,-5,7,0.0,12.63,0.0,12.63
1,13,-,정샘물,에센셜 스킨 누더 쿠션 [SPF50+/PA+++],4.17,5133,48000,2026.09.06,0,13,0.0,11.05,10.0,21.05
1,14,-,어바웃톤,스킨 레이어 핏 쿠션 [SPF30/PA++],4.24,385,32000,2026.09.06,0,14,0.0,9.47,13.33,22.8
1,15,-,클리오,킬 커버 파운웨어 쿠션 [SPF40/PA++],4.21,228,36000,2026.09.06,0,15,0.0,7.89,11.9,19.79
1,16,+15,웨이크메이크,스킨 퍼펙팅 커버 쿠션 [SPF40/PA++],4.59,33,36000,2026.09.06,15,31,40.0,6.32,30.0,76.32
1,17,+1,지베르니,밀착 커버 쿠션 [SPF40+/PA+++],4.19,363,37000,2026.09.06,1,18,2.67,4.74,10.95,18.36
1,18,-1,힌스,세컨 스킨 메쉬 매트 쿠션 [SPF40/PA++],4.31,1295,34000,2026.09.06,-1,17,0.0,3.16,16.67,19.83
1,19,+2,네이밍,레이어드 핏 쿠션 [SPF50+/PA+++],4.29,1410,28000,2026.09.06,2,21,5.33,1.58,15.71,22.62
1,20,-1,어바웃톤,스킨 레이어 핏 파운데이션 [SPF30/PA++],4.38,1122,28000,2026.09.06,-1,19,0.0,0.0,20.0,20.0
2,1,-,루미르,라이트 온 아이즈 섀도우 팔레트,4.68,439,39000,2026.09.06,0,1,0.0,30.0,28.39,58.39
2,2,+10,홀리카홀리카,소프튠 무드 팔레트,4.6,56,5000,2026.09.06,10,12,40.0,28.42,24.11,92.53
2,3,-1,홀리카홀리카,마이페이브 피스 젤테일,4.63,266,6000,2026.09.06,-1,2,0.0,26.84,25.71,52.55
2,4,-1,홀리카홀리카,마이페이브 피스 섀도우 [매트],4.69,1343,6000,2026.09.06,-1,3,0.0,25.26,28.93,54.19
2,5,+2,투에이엔,베러 미 아이 팔레트,4.62,436,23000,2026.09.06,2,7,8.0,23.68,25.18,56.86
2,6,-1,페리페라,(페리페라X인보라) 올테이크 무드 팔레트,4.58,142,23000,2026.09.06,-1,5,0.0,22.11,23.04,45.15
2,7,-3,프릴루드 딘토,노스탈지아 아이 팔레트,4.33,361,5000,2026.09.06,-3,4,0.0,20.53,9.64,30.17
2,8,+2,홀리카홀리카,마이페이브 무드 아이팔레트 [레터프롬스프링],4.67,410,28000,2026.09.06,2,10,8.0,18.95,27.86,54.81
